OpenTime,Open,High,Low,Close,BaseVolume,CloseTime,QuoteVolume,TradeCount,TakerBuyBaseVolume,TakerBuyQuoteVolume
1641828660,40835.41000000,40949.46000000,40835.41000000,40835.41000000,87.98569000,1641828719,3600437.71586930,1611,58.84511000,2408121.69972790
1641828720,40923.00000000,40999.97000000,40913.72000000,40913.72000000,70.46169000,1641828779,2886124.48028510,1529,33.00526000,1351943.53552290
1641828780,40981.69000000,41083.50000000,40968.93000000,40968.93000000,128.65461000,1641828839,5277977.56553090,2275,59.44975000,2439301.62273390
1641828840,41051.22000000,41051.22000000,40981.68000000,40981.68000000,63.87135000,1641828899,2619689.80954390,1441,24.40661000,1001143.07785960
1641828900,41015.51000000,41049.99000000,40985.97000000,40985.97000000,44.25495000,1641828959,1815174.47433520,1040,20.09101000,824100.55240780
1641828960,41009.94000000,41019.00000000,40944.04000000,40944.04000000,33.78002000,1641829019,1384590.74984320,1104,15.54816000,637324.03247680
1641829020,40944.05000000,41060.00000000,40907.32000000,40907.32000000,151.28497000,1641829079,6201438.95819770,2202,98.74292000,4047881.80746780
1641829080,41029.92000000,41200.00000000,40985.30000000,40985.30000000,172.76341000,1641829139,7101894.73664370,3458,101.54325000,4173733.18623930
1641829140,41188.45000000,41200.00000000,41128.65000000,41128.65000000,205.54887000,1641829199,8464923.32445250,2769,130.27481000,5365157.21664870
1641829200,41171.74000000,41198.04000000,41092.61000000,41092.61000000,58.63399000,1641829259,2412306.04523810,1404,30.82114000,1267995.64431600
1641829260,41125.79000000,41147.81000000,41073.87000000,41073.87000000,45.00404000,1641829319,1849738.59779370,986,28.47219000,1170165.76949410
1641829320,41080.13000000,41114.03000000,40993.54000000,40993.54000000,47.08596000,1641829379,1932932.68492640,1101,16.01760000,657714.62078560
1641829380,40993.54000000,41060.00000000,40992.50000000,40992.50000000,38.95650000,1641829439,1598141.18203250,1035,17.49408000,717730.26586590
1641829440,41032.01000000,41060.21000000,40994.44000000,40994.44000000,27.99288000,1641829499,1148350.02886360,804,12.37613000,507643.10538560
1641829500,41006.96000000,41019.71000000,40950.65000000,40950.65000000,40.07733000,1641829559,1642287.00372090,1059,17.61884000,722020.26166200
1641829560,40973.67000000,40973.68000000,40853.44000000,40853.44000000,82.80909000,1641829619,3386991.35796270,2089,39.44474000,1613210.46442710
1641829620,40891.79000000,40942.80000000,40887.11000000,40887.11000000,30.66072000,1641829679,1254308.83946170,1204,16.72216000,684072.45215550
1641829680,40895.47000000,40905.83000000,40825.00000000,40825.00000000,33.02629000,1641829739,1349379.07971430,1262,15.12122000,617802.38868970
